Country,Country_IOS2,OpioidEML,9 quantiles of OpioidEML,Region,Sub_region,RateOpEML,10 quantiles of RateOpEML,who_opioids,simScore
Brazil,BRA,3,1,America,America (south),1,1,3,1
Cambodia,KHM,0,1,Asia,Asia (East & South East),0,1,0,0
Bulgaria,BGR,1,1,Europe,Europe (south eastern),0,1,1,0
Vanuatu,VUT,3,1,Oceania,Oceania,2,4,3,1
Pakistan,PAK,3,1,Asia,Asia (west),1,1,3,1
Nicaragua,NIC,2,1,America,America (Central & Carribbean),1,1,2,0
Angola,AGO,1,1,Africa,Africa,2,3,1,0
Haiti,HTI,2,1,America,America (Central & Carribbean),1,1,2,0
Chad,TCD,3,1,Africa,Africa,1,2,3,1
Kiribati,KIR,5,3,Oceania,Oceania,2,8,4,1
Papua New Guinea,PNG,4,2,Oceania,Oceania,1,2,3,1
Georgia,GEO,4,2,Asia,Asia (west),2,3,3,1
Mongolia,MNG,4,2,Asia,Asia (East & South East),2,3,3,1
Ukraine,UKR,3,1,Europe,Europe (eastern),1,1,2,0
Niue,NIU,4,2,Oceania,Oceania,2,5,3,1
Lithuania,LTU,3,1,Europe,Europe (west),1,1,2,0
Sri Lanka,LKA,4,2,Asia,Asia (South),1,2,3,1
Saint Vincent & the Grenadines,VCT,5,3,America,America (Central & Carribbean),2,6,4,1
Somalia,SOM,1,1,Africa,Africa,1,2,0,0
Tuvalu,TUV,4,2,Oceania,Oceania,2,8,3,1
Guyana,GUY,6,4,America,America (south),2,8,5,1
Kenya,KEN,6,4,Africa,Africa,1,2,5,1
Mauritania,MRT,3,1,Africa,Africa,1,2,2,0
Bangladesh,BGD,2,1,Asia,Asia (South),1,1,1,0
Mozambique,MOZ,5,3,Africa,Africa,2,6,4,1
Albania,ALB,3,1,Europe,Europe (south eastern),1,2,2,0
Suriname,SUR,5,3,America,America (south),2,5,4,1
Timor-Leste,TLS,4,2,Asia,Asia (East & South East),2,4,3,1
Yemen,YEM,3,1,Asia,Asia (west),1,1,2,0
Djibouti,DJI,4,2,Africa,Africa,2,7,3,1
Burundi,BDI,4,2,Africa,Africa,1,2,3,1
Armenia,ARM,4,2,Asia,Asia (west),1,2,3,1
China,CHN,5,3,Asia,Asia (East & South East),2,4,3,1
Guinea,GIN,5,3,Africa,Africa,2,7,3,1
Russian Federation,RUS,5,3,Europe,Europe (eastern),1,1,3,1
Tajikistan,TJK,6,4,Asia,Asia (west),2,8,4,1
Antigua & Barbuda,ATG,6,4,America,America (Central & Carribbean),2,7,4,1
Zambia,ZMB,5,3,Africa,Africa,2,5,3,1
Liberia,LBR,4,2,Africa,Africa,2,5,2,0
Nepal,NPL,4,2,Asia,Asia (South),1,2,2,0
Mali,MLI,6,4,Africa,Africa,2,8,4,1
Saint Kitts & Nevis,KNA,5,3,America,America (Central & Carribbean),2,4,3,1
Kyrgyzstan,KGZ,5,3,Asia,Asia (west),2,3,3,1
Gambia,GMB,5,3,Africa,Africa,3,10,3,1
South Africa,ZAF,4,2,Africa,Africa,2,7,2,0
Grenada,GRD,5,3,America,America (Central & Carribbean),2,5,3,1
Dominican Republic,DOM,6,4,America,America (Central & Carribbean),2,4,4,1
Fiji,FJI,6,4,Oceania,Oceania,2,7,4,1
Ghana,GHA,5,3,Africa,Africa,2,3,3,1
Myanmar,MMR,6,4,Asia,Asia (East & South East),2,6,4,1
India,IND,4,2,Asia,Asia (South),1,1,2,0
Bahrain,BHR,6,4,Asia,Asia (west),1,1,4,1
Solomon Islands,SLB,5,3,Oceania,Oceania,2,6,3,1
Tanzania (United Republic of),TZA,6,4,Africa,Africa,2,3,4,1
Costa Rica,CRI,7,5,America,America (Central & Carribbean),2,5,5,1
Dominica,DMA,5,3,America,America (Central & Carribbean),2,5,3,1
Lesotho,LSO,3,1,Africa,Africa,2,3,1,0
Bhutan,BTN,5,3,Asia,Asia (South),2,4,3,1
Seychelles,SYC,5,3,Africa,Africa,2,4,3,1
Saint Lucia,LCA,5,3,America,America (Central & Carribbean),2,4,3,1
Lebanon,LBN,6,4,Asia,Asia (west),2,8,3,1
Bosnia & Herzegovina,BIH,6,4,Europe,Europe (south eastern),3,10,3,1
El Salvador,SLV,6,4,America,America (Central & Carribbean),2,3,3,1
Cabo Verde,CPV,8,6,Africa,Africa,1,2,5,1
Paraguay,PRY,6,4,America,America (south),2,6,3,1
Malaysia,MYS,6,4,Asia,Asia (East & South East),2,6,3,1
Marshall Islands,MHL,7,5,Oceania,Oceania,3,10,4,1
Moldova (the Republic of),MDA,8,6,Europe,Europe (eastern),2,4,5,1
Malawi,MWI,7,5,Africa,Africa,2,8,4,1
Nauru,NRU,7,5,Oceania,Oceania,3,10,4,1
Bolivia (Plurinational State of),BOL,8,6,America,America (south),2,8,5,1
Eritrea,ERI,6,4,Africa,Africa,2,5,3,1
Uganda,UGA,7,5,Africa,Africa,2,6,4,1
Korea (Democratic People's Republic of),PRK,6,4,Asia,Asia (East & South East),3,9,3,1
Rwanda,RWA,6,4,Africa,Africa,2,7,3,1
Sudan,SDN,5,3,Africa,Africa,2,3,2,0
Uruguay,URY,8,6,America,America (south),2,3,5,1
Tonga,TON,7,5,Oceania,Oceania,3,10,4,1
Sweden,SWE,7,5,Europe,Europe (west),2,9,4,1
Chile,CHL,8,6,America,America (south),2,8,5,1
Estonia,EST,8,6,Europe,Europe (west),2,7,5,1
Indonesia,IDN,7,5,Asia,Asia (East & South East),3,9,4,1
Botswana,BWA,7,5,Africa,Africa,2,7,4,1
Palau,PLW,7,5,Oceania,Oceania,3,9,4,1
Zimbabwe,ZWE,7,5,Africa,Africa,2,7,4,1
Egypt,EGY,6,4,Africa,Africa,2,5,3,1
Namibia,NAM,9,7,Africa,Africa,2,9,5,1
Colombia,COL,8,6,America,America (south),2,8,4,1
Venezuela (Bolivarian Rep. of),VEN,7,5,America,America (south),2,8,3,1
Trinidad & Tobago,TTO,9,7,America,America (Central & Carribbean),2,5,5,1
Central African Republic,CAF,7,5,Africa,Africa,2,9,3,1
Madagascar,MDG,7,5,Africa,Africa,3,10,3,1
Honduras,HND,8,6,America,America (Central & Carribbean),2,8,4,1
Cuba,CUB,7,5,America,America (Central & Carribbean),1,2,3,1
Belize,BLZ,9,7,America,America (Central & Carribbean),2,9,5,1
Argentina,ARG,8,6,America,America (south),2,4,4,1
Peru,PER,7,5,America,America (south),2,3,3,1
Cook Islands,COK,6,4,Oceania,Oceania,3,9,2,0
Montenegro,MNE,8,6,Europe,Europe (south eastern),2,5,4,1
Burkina Faso,BKA,9,7,Africa,Africa,3,10,5,1
Latvia,LVA,6,4,Europe,Europe (west),2,6,2,0
Afghanistan,AFG,6,4,Asia,Asia (west),2,9,2,0
Viet Nam,VNM,9,7,Asia,Asia (East & South East),1,1,4,1
Jordan,JOR,10,8,Asia,Asia (west),2,4,5,1
Congo (the),COG,9,7,Africa,Africa,3,10,4,1
Togo,TGO,9,7,Africa,Africa,3,10,4,1
Nigeria,NGA,10,8,Africa,Africa,3,10,5,1
Morocco,MAR,10,8,Africa,Africa,3,10,5,1
Oman,OMN,10,8,Asia,Asia (west),2,5,5,1
Senegal,SEN,9,7,Africa,Africa,3,9,4,1
Algeria,DZA,7,5,Africa,Africa,2,3,2,0
Maldives,MDV,9,7,Asia,Asia (South),2,4,4,1
Ecuador,ECU,10,8,America,America (south),3,9,5,1
Macedonia (The former Yugoslav Rep. of ),MKD,9,7,Europe,Europe (south eastern),2,9,4,1
Congo (Democratic Republic of the),COD,9,7,Africa,Africa,3,10,4,1
Poland,POL,9,7,Europe,Europe (west),2,7,4,1
Philippines,PHL,10,8,Asia,Asia (East & South East),2,6,4,1
Côte d'Ivoire,CIV,10,8,Africa,Africa,2,7,4,1
Cameroon,CMR,10,8,Africa,Africa,3,10,4,1
Ethiopia,ETH,11,8,Africa,Africa,2,3,5,1
Belarus,BLR,9,7,Europe,Europe (eastern),2,9,3,1
Thailand,THA,11,8,Asia,Asia (East & South East),2,7,5,1
Serbia,SRB,10,8,Europe,Europe (south eastern),2,8,4,1
Portugal,PRT,11,8,Europe,Europe (west),1,2,5,1
Romania,ROU,11,8,Europe,Europe (south eastern),2,4,4,1
Jamaica,JAM,12,9,America,America (Central & Carribbean),3,9,5,1
Iraq,IRQ,12,9,Asia,Asia (west),2,7,4,1
Malta,MLT,13,9,Europe,Europe (west),2,8,5,1
Mexico,MEX,12,9,America,America (North),2,4,4,1
Croatia,HRV,12,9,Europe,Europe (south eastern),2,7,4,1
Barbados,BRB,12,9,America,America (Central & Carribbean),2,6,4,1
Tunisia,TUN,14,9,Africa,Africa,2,6,4,1
Slovenia,SVN,15,9,Europe,Europe (west),2,6,5,1
Iran (Islamic Republic of),IRN,16,9,Asia,Asia (west),2,5,5,1
Czechia,CZE,15,9,Europe,Europe (west),2,6,3,1
Syrian Arab Republic,SYR,15,9,Asia,Asia (west),2,3,3,1
