Country,country_ISO,Sub_region,Region,meanop_pop,meanDiphen_pop,meanDifen_pop,meanFent_pop,meanAlfent_pop,meanSufent_pop,meanRemifent_pop,meanTrimeper_pop,meanMorphine_pop,meanOpium_pop,meanHydromorph_pop,meanOxycodone_pop,meanDihydrocod_pop,meanPethidine_pop,meanPiritramide_pop,meanDextro_pop,meanTilid_pop,meanMeth_pop,meanDiamorph_pop,meanHydrocod_pop,meanCodeine_pop,meanPholcod_pop,10 quantiles of meanop_pop
Afghanistan,AFG,Asia (west),Asia,0,0,,0,,,,,0,0,0,,,0,,0,,0,0,,0,0,4
Albania,ALB,Europe (south eastern),Europe,1,,,0,,0,0,,0,,,0,,0,,0,,0,0,,0,0,6
Algeria,DZA,Africa,Africa,0,,,0,0,0,0,,0,,,0,,0,,,,0,,,0,0,3
Andorra,AND,Europe (west),Europe,2,,,0,,,0,,0,0,,1,,0,,,,0,0,,,,8
Angola,AGO,Africa,Africa,0,0,,0,0,0,,,0,,,,0,0,,0,,,,,0,,2
Anguilla,AIA,America (Central & Carribbean),America,1,,,0,,,,,0,,,,,0,,,,,,,1,,8
Antigua & Barbuda,ATG,America (Central & Carribbean),America,0,0,,0,,0,0,,0,,,0,0,0,,,,,,,0,,1
Argentina,ARG,America (south),America,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Armenia,ARM,Asia (west),Asia,0,,,0,,,,0,0,,,,,,,,,0,,,0,,6
Aruba,ABW,America (Central & Carribbean),America,0,,,0,0,,0,,0,0,,0,,0,0,0,,0,,0,0,,1
Ascension Island,SHN,Africa,Africa,0,,,0,0,,,,0,,,,,0,,,,,,,,,5
Australia,AUS,Oceania,Oceania,19,0,,0,0,0,0,,3,0,0,11,0,0,,0,,4,0,0,1,0,10
Austria,AUT,Europe (west),Europe,25,0,,0,0,0,0,,21,0,1,1,0,0,0,0,0,1,0,0,0,,10
Azerbaijan,AZE,Asia (west),Asia,0,,,0,,,,0,0,,,,,,,,,0,,,0,,4
Bahamas,BHS,America (Central & Carribbean),America,2,,,0,0,0,0,,0,0,0,0,0,1,,0,0,0,0,0,0,,8
Bahrain,BHR,Asia (west),Asia,1,,,0,0,,0,,0,0,,0,,1,,,,0,0,,0,,8
Bangladesh,BGD,Asia (South),Asia,0,,,0,,,0,,0,,,0,,0,,,,0,0,,,,4
Barbados,BRB,America (Central & Carribbean),America,3,,,0,,0,0,,1,,0,,0,2,,,,0,0,,0,,9
Belarus,BLR,Europe (eastern),Europe,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,,6
Belgium,BEL,Europe (west),Europe,22,0,,0,0,0,0,,1,0,0,2,0,0,0,0,16,2,0,0,1,0,10
Belize,BLZ,America (Central & Carribbean),America,0,0,,0,,,,,0,,0,0,0,0,,0,,0,0,0,0,,6
Benin,BEN,Africa,Africa,0,,,0,,0,0,,0,,,0,0,0,,,,0,0,,0,,3
Bermuda,BMU,America (Central & Carribbean),America,0,0,,0,0,,0,,0,,0,0,0,0,,0,,0,0,0,0,0,1
Bhutan,BTN,Asia (South),Asia,0,,,0,,,,,0,,,,,0,,,,,,,0,,3
Bolivia (Plurinational State of),BOL,America (south),America,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,3
Bosnia & Herzegovina,BIH,Europe (south eastern),Europe,0,,,0,0,0,0,,0,,,0,,0,,,,0,0,,0,0,6
Botswana,BWA,Africa,Africa,0,,,0,0,0,0,,0,,0,0,0,0,,,0,,,,0,,5
Brazil,BRA,America (south),America,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
